trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
90,False,"{'a': 0.5, 'e': 0.4047319726783239}",30,16,-34.636571937062726,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154065}",30,18,-84.4325598289233,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 2}",1
92,False,"{'a': 0.5, 'e': 0.39667780642202527}",20,0,9.598541413278808,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.392711028357805}",25,1,-33.399755928807046,"{0: 21, 1: 0, 2: 0, 3: 3, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.38878391807422696}",20,0,-67.89618983980343,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.3848960788934847}",25,0,25.85069613453483,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.38104711810454983}",20,11,-53.34174835660803,"{0: 6, 1: 0, 2: 0, 3: 3, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350434}",30,15,-11.955833143732754,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426927}",25,0,-42.02857036177064,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.36972963764972655}",25,17,3.5272987399692983,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.36603234127322926}",25,0,-78.08909194730634,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.36237201786049694}",30,7,-89.818521664772,"{0: 19, 1: 0, 2: 0, 3: 2, 4: 2}",1
102,False,"{'a': 0.5, 'e': 0.358748297681892}",30,0,-42.15871077480813,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
